,Tissue,Delivery,Date,Animal,Test,Function,Parent,IFNB,IFNG,LPSIFNG,Naive_Macrophage,THP1_Monocytes,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele,Allele,IFNB_interaction,IFNG_interaction,LPSIFNG_interaction,Naive_interaction
Naive_THP1mac_ZC61_R_REF_Barcode_3,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC61_R,Immune,THP1_Macrophage,0,0,0,1,0,3,3_REF,REF,Naive_THP1mac_ZC61_R_REF,Macrophage_REF,THP1_Naive_REF,0,0,0,0,0
Naive_THP1mac_ZC61_R_REF_Barcode_4,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC61_R,Immune,THP1_Macrophage,0,0,0,1,0,4,4_REF,REF,Naive_THP1mac_ZC61_R_REF,Macrophage_REF,THP1_Naive_REF,0,0,0,0,0
Naive_THP1mac_ZC61_R_REF_Barcode_5,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC61_R,Immune,THP1_Macrophage,0,0,0,1,0,5,5_REF,REF,Naive_THP1mac_ZC61_R_REF,Macrophage_REF,THP1_Naive_REF,0,0,0,0,0
Naive_THP1mac_ZC82_R_ALT_Barcode_1,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC82_R,Immune,THP1_Macrophage,0,0,0,1,0,1,1_ALT,ALT,Naive_THP1mac_ZC82_R_ALT,Macrophage_ALT,THP1_Naive_ALT,1,0,0,0,1
Naive_THP1mac_ZC82_R_ALT_Barcode_2,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC82_R,Immune,THP1_Macrophage,0,0,0,1,0,2,2_ALT,ALT,Naive_THP1mac_ZC82_R_ALT,Macrophage_ALT,THP1_Naive_ALT,1,0,0,0,1
Naive_THP1mac_ZC82_R_ALT_Barcode_3,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC82_R,Immune,THP1_Macrophage,0,0,0,1,0,3,3_ALT,ALT,Naive_THP1mac_ZC82_R_ALT,Macrophage_ALT,THP1_Naive_ALT,1,0,0,0,1
Naive_THP1mac_ZC82_R_ALT_Barcode_4,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC82_R,Immune,THP1_Macrophage,0,0,0,1,0,4,4_ALT,ALT,Naive_THP1mac_ZC82_R_ALT,Macrophage_ALT,THP1_Naive_ALT,1,0,0,0,1
Naive_THP1mac_ZC82_R_ALT_Barcode_5,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC82_R,Immune,THP1_Macrophage,0,0,0,1,0,5,5_ALT,ALT,Naive_THP1mac_ZC82_R_ALT,Macrophage_ALT,THP1_Naive_ALT,1,0,0,0,1
Naive_THP1mac_ZC82_R_REF_Barcode_1,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC82_R,Immune,THP1_Macrophage,0,0,0,1,0,1,1_REF,REF,Naive_THP1mac_ZC82_R_REF,Macrophage_REF,THP1_Naive_REF,0,0,0,0,0
Naive_THP1mac_ZC82_R_REF_Barcode_2,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC82_R,Immune,THP1_Macrophage,0,0,0,1,0,2,2_REF,REF,Naive_THP1mac_ZC82_R_REF,Macrophage_REF,THP1_Naive_REF,0,0,0,0,0
Naive_THP1mac_ZC82_R_REF_Barcode_3,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC82_R,Immune,THP1_Macrophage,0,0,0,1,0,3,3_REF,REF,Naive_THP1mac_ZC82_R_REF,Macrophage_REF,THP1_Naive_REF,0,0,0,0,0
Naive_THP1mac_ZC82_R_REF_Barcode_4,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC82_R,Immune,THP1_Macrophage,0,0,0,1,0,4,4_REF,REF,Naive_THP1mac_ZC82_R_REF,Macrophage_REF,THP1_Naive_REF,0,0,0,0,0
Naive_THP1mac_ZC82_R_REF_Barcode_5,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC82_R,Immune,THP1_Macrophage,0,0,0,1,0,5,5_REF,REF,Naive_THP1mac_ZC82_R_REF,Macrophage_REF,THP1_Naive_REF,0,0,0,0,0
Naive_THP1mac_ZC83_R_ALT_Barcode_1,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC83_R,Immune,THP1_Macrophage,0,0,0,1,0,1,1_ALT,ALT,Naive_THP1mac_ZC83_R_ALT,Macrophage_ALT,THP1_Naive_ALT,1,0,0,0,1
Naive_THP1mac_ZC83_R_ALT_Barcode_2,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC83_R,Immune,THP1_Macrophage,0,0,0,1,0,2,2_ALT,ALT,Naive_THP1mac_ZC83_R_ALT,Macrophage_ALT,THP1_Naive_ALT,1,0,0,0,1
Naive_THP1mac_ZC83_R_ALT_Barcode_3,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC83_R,Immune,THP1_Macrophage,0,0,0,1,0,3,3_ALT,ALT,Naive_THP1mac_ZC83_R_ALT,Macrophage_ALT,THP1_Naive_ALT,1,0,0,0,1
Naive_THP1mac_ZC83_R_ALT_Barcode_4,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC83_R,Immune,THP1_Macrophage,0,0,0,1,0,4,4_ALT,ALT,Naive_THP1mac_ZC83_R_ALT,Macrophage_ALT,THP1_Naive_ALT,1,0,0,0,1
Naive_THP1mac_ZC83_R_ALT_Barcode_5,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC83_R,Immune,THP1_Macrophage,0,0,0,1,0,5,5_ALT,ALT,Naive_THP1mac_ZC83_R_ALT,Macrophage_ALT,THP1_Naive_ALT,1,0,0,0,1
Naive_THP1mac_ZC83_R_REF_Barcode_1,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC83_R,Immune,THP1_Macrophage,0,0,0,1,0,1,1_REF,REF,Naive_THP1mac_ZC83_R_REF,Macrophage_REF,THP1_Naive_REF,0,0,0,0,0
Naive_THP1mac_ZC83_R_REF_Barcode_2,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC83_R,Immune,THP1_Macrophage,0,0,0,1,0,2,2_REF,REF,Naive_THP1mac_ZC83_R_REF,Macrophage_REF,THP1_Naive_REF,0,0,0,0,0
Naive_THP1mac_ZC83_R_REF_Barcode_3,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC83_R,Immune,THP1_Macrophage,0,0,0,1,0,3,3_REF,REF,Naive_THP1mac_ZC83_R_REF,Macrophage_REF,THP1_Naive_REF,0,0,0,0,0
Naive_THP1mac_ZC83_R_REF_Barcode_4,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC83_R,Immune,THP1_Macrophage,0,0,0,1,0,4,4_REF,REF,Naive_THP1mac_ZC83_R_REF,Macrophage_REF,THP1_Naive_REF,0,0,0,0,0
Naive_THP1mac_ZC83_R_REF_Barcode_5,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC83_R,Immune,THP1_Macrophage,0,0,0,1,0,5,5_REF,REF,Naive_THP1mac_ZC83_R_REF,Macrophage_REF,THP1_Naive_REF,0,0,0,0,0
Naive_THP1mac_ZC86_R_ALT_Barcode_1,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC86_R,Immune,THP1_Macrophage,0,0,0,1,0,1,1_ALT,ALT,Naive_THP1mac_ZC86_R_ALT,Macrophage_ALT,THP1_Naive_ALT,1,0,0,0,1
Naive_THP1mac_ZC86_R_ALT_Barcode_2,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC86_R,Immune,THP1_Macrophage,0,0,0,1,0,2,2_ALT,ALT,Naive_THP1mac_ZC86_R_ALT,Macrophage_ALT,THP1_Naive_ALT,1,0,0,0,1
Naive_THP1mac_ZC86_R_ALT_Barcode_3,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC86_R,Immune,THP1_Macrophage,0,0,0,1,0,3,3_ALT,ALT,Naive_THP1mac_ZC86_R_ALT,Macrophage_ALT,THP1_Naive_ALT,1,0,0,0,1
Naive_THP1mac_ZC86_R_ALT_Barcode_4,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC86_R,Immune,THP1_Macrophage,0,0,0,1,0,4,4_ALT,ALT,Naive_THP1mac_ZC86_R_ALT,Macrophage_ALT,THP1_Naive_ALT,1,0,0,0,1
Naive_THP1mac_ZC86_R_ALT_Barcode_5,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC86_R,Immune,THP1_Macrophage,0,0,0,1,0,5,5_ALT,ALT,Naive_THP1mac_ZC86_R_ALT,Macrophage_ALT,THP1_Naive_ALT,1,0,0,0,1
Naive_THP1mac_ZC86_R_REF_Barcode_1,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC86_R,Immune,THP1_Macrophage,0,0,0,1,0,1,1_REF,REF,Naive_THP1mac_ZC86_R_REF,Macrophage_REF,THP1_Naive_REF,0,0,0,0,0
Naive_THP1mac_ZC86_R_REF_Barcode_2,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC86_R,Immune,THP1_Macrophage,0,0,0,1,0,2,2_REF,REF,Naive_THP1mac_ZC86_R_REF,Macrophage_REF,THP1_Naive_REF,0,0,0,0,0
Naive_THP1mac_ZC86_R_REF_Barcode_3,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC86_R,Immune,THP1_Macrophage,0,0,0,1,0,3,3_REF,REF,Naive_THP1mac_ZC86_R_REF,Macrophage_REF,THP1_Naive_REF,0,0,0,0,0
Naive_THP1mac_ZC86_R_REF_Barcode_4,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC86_R,Immune,THP1_Macrophage,0,0,0,1,0,4,4_REF,REF,Naive_THP1mac_ZC86_R_REF,Macrophage_REF,THP1_Naive_REF,0,0,0,0,0
Naive_THP1mac_ZC86_R_REF_Barcode_5,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC86_R,Immune,THP1_Macrophage,0,0,0,1,0,5,5_REF,REF,Naive_THP1mac_ZC86_R_REF,Macrophage_REF,THP1_Naive_REF,0,0,0,0,0
Naive_THP1mac_ZC91_R_ALT_Barcode_1,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC91_R,Immune,THP1_Macrophage,0,0,0,1,0,1,1_ALT,ALT,Naive_THP1mac_ZC91_R_ALT,Macrophage_ALT,THP1_Naive_ALT,1,0,0,0,1
Naive_THP1mac_ZC91_R_ALT_Barcode_2,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC91_R,Immune,THP1_Macrophage,0,0,0,1,0,2,2_ALT,ALT,Naive_THP1mac_ZC91_R_ALT,Macrophage_ALT,THP1_Naive_ALT,1,0,0,0,1
Naive_THP1mac_ZC91_R_ALT_Barcode_3,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC91_R,Immune,THP1_Macrophage,0,0,0,1,0,3,3_ALT,ALT,Naive_THP1mac_ZC91_R_ALT,Macrophage_ALT,THP1_Naive_ALT,1,0,0,0,1
Naive_THP1mac_ZC91_R_ALT_Barcode_4,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC91_R,Immune,THP1_Macrophage,0,0,0,1,0,4,4_ALT,ALT,Naive_THP1mac_ZC91_R_ALT,Macrophage_ALT,THP1_Naive_ALT,1,0,0,0,1
Naive_THP1mac_ZC91_R_ALT_Barcode_5,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC91_R,Immune,THP1_Macrophage,0,0,0,1,0,5,5_ALT,ALT,Naive_THP1mac_ZC91_R_ALT,Macrophage_ALT,THP1_Naive_ALT,1,0,0,0,1
Naive_THP1mac_ZC91_R_REF_Barcode_1,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC91_R,Immune,THP1_Macrophage,0,0,0,1,0,1,1_REF,REF,Naive_THP1mac_ZC91_R_REF,Macrophage_REF,THP1_Naive_REF,0,0,0,0,0
Naive_THP1mac_ZC91_R_REF_Barcode_2,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC91_R,Immune,THP1_Macrophage,0,0,0,1,0,2,2_REF,REF,Naive_THP1mac_ZC91_R_REF,Macrophage_REF,THP1_Naive_REF,0,0,0,0,0
Naive_THP1mac_ZC91_R_REF_Barcode_3,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC91_R,Immune,THP1_Macrophage,0,0,0,1,0,3,3_REF,REF,Naive_THP1mac_ZC91_R_REF,Macrophage_REF,THP1_Naive_REF,0,0,0,0,0
Naive_THP1mac_ZC91_R_REF_Barcode_4,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC91_R,Immune,THP1_Macrophage,0,0,0,1,0,4,4_REF,REF,Naive_THP1mac_ZC91_R_REF,Macrophage_REF,THP1_Naive_REF,0,0,0,0,0
Naive_THP1mac_ZC91_R_REF_Barcode_5,THP1_Naive,Nucleofector,,Macrophage,Naive_THP1mac_ZC91_R,Immune,THP1_Macrophage,0,0,0,1,0,5,5_REF,REF,Naive_THP1mac_ZC91_R_REF,Macrophage_REF,THP1_Naive_REF,0,0,0,0,0
